Geography,Zip,Total Population,Land Area in Square Miles,Population Per Square Mile (Land Area)
ZCTA5 95023,95023,"48,841",412.4,118
ZCTA5 95030,95030,"12,791",10.4,"1,225"
ZCTA5 95032,95032,"25,089",15.9,"1,579"
ZCTA5 95033,95033,"9,372",91.7,102
ZCTA5 95035,95035,"66,943",23.2,"2,880"
ZCTA5 95037,95037,"45,579",243.3,187
ZCTA5 95039,95039,"1,377",14.7,93
ZCTA5 95041,95041,160,0,"3,951"
ZCTA5 95043,95043,639,858.6,1
ZCTA5 95045,95045,"4,046",47.4,85
ZCTA5 95046,95046,"6,417",19.5,329
ZCTA5 95050,95050,"35,923",5.3,"6,808"
ZCTA5 95051,95051,"54,327",6.7,"8,159"
ZCTA5 95053,95053,"2,206",0.2,"12,925"
ZCTA5 95054,95054,"23,364",6.3,"3,730"
ZCTA5 95060,95060,"46,377",67.8,684
ZCTA5 95062,95062,"36,079",5,"7,148"
ZCTA5 95064,95064,"7,331",1.9,"3,908"
ZCTA5 95065,95065,"8,113",11.2,725
ZCTA5 95066,95066,"14,749",19,778
ZCTA5 95070,95070,"30,617",25.5,"1,201"
ZCTA5 95073,95073,"10,154",21.2,479
ZCTA5 95075,95075,331,93,4
ZCTA5 95076,95076,"82,474",136.6,604
ZCTA5 95110,95110,"18,730",4.7,"4,014"
ZCTA5 95111,95111,"58,466",5.4,"10,840"
ZCTA5 95112,95112,"55,927",7.1,"7,885"
ZCTA5 95113,95113,893,0.3,"2,618"
ZCTA5 95116,95116,"51,496",3.6,"14,382"
ZCTA5 95117,95117,"30,067",2.6,"11,693"
ZCTA5 95118,95118,"31,932",4.1,"7,703"
ZCTA5 95119,95119,"9,970",2.8,"3,524"
ZCTA5 95120,95120,"37,457",39.8,942
ZCTA5 95121,95121,"37,469",4.4,"8,454"
ZCTA5 95122,95122,"56,545",4.8,"11,857"
ZCTA5 95123,95123,"62,228",8.3,"7,481"
ZCTA5 95124,95124,"47,082",6.6,"7,167"
ZCTA5 95125,95125,"51,939",8,"6,488"
ZCTA5 95126,95126,"31,049",3.3,"9,459"
ZCTA5 95127,95127,"61,325",13,"4,713"
ZCTA5 95128,95128,"34,836",3.9,"8,923"
ZCTA5 95129,95129,"38,720",4.5,"8,581"
ZCTA5 95130,95130,"13,911",1.6,"8,930"
ZCTA5 95131,95131,"28,565",5.8,"4,913"
ZCTA5 95132,95132,"40,299",51,791
ZCTA5 95133,95133,"25,401",3.2,"7,982"
ZCTA5 95134,95134,"15,268",9.5,"1,610"
ZCTA5 95135,95135,"20,120",30.6,658
ZCTA5 95136,95136,"42,989",4.7,"9,082"
ZCTA5 95138,95138,"18,889",26.1,725
ZCTA5 95139,95139,"6,748",1.2,"5,482"
ZCTA5 95140,95140,191,123.7,2
ZCTA5 95148,95148,"45,528",9.4,"4,831"
ZCTA5 95202,95202,"6,521",1.1,"6,049"
ZCTA5 95203,95203,"15,696",6.2,"2,544"
ZCTA5 95204,95204,"27,786",5.1,"5,448"
ZCTA5 95205,95205,"38,069",9.1,"4,188"
ZCTA5 95206,95206,"65,004",144.9,449
ZCTA5 95207,95207,"47,965",7.3,"6,610"
ZCTA5 95209,95209,"39,488",8.4,"4,711"
ZCTA5 95210,95210,"39,009",6.6,"5,892"
ZCTA5 95211,95211,"1,545",0.2,"10,208"
ZCTA5 95212,95212,"25,239",21.6,"1,170"
ZCTA5 95215,95215,"23,224",94.7,245
ZCTA5 95219,95219,"27,884",56.9,490
ZCTA5 95220,95220,"7,273",57.6,126
ZCTA5 95222,95222,"5,292",151.1,35
ZCTA5 95223,95223,"4,612",287.4,16
ZCTA5 95224,95224,429,11.4,38
ZCTA5 95225,95225,672,7,96
ZCTA5 95226,95226,84,5.6,15
ZCTA5 95227,95227,941,37.1,25
ZCTA5 95228,95228,"3,976",106.8,37
ZCTA5 95230,95230,718,113.6,6
ZCTA5 95231,95231,"4,374",10.6,413
ZCTA5 95232,95232,304,7.9,38
ZCTA5 95233,95233,436,7,62
ZCTA5 95234,95234,70,33.6,2
ZCTA5 95236,95236,"4,223",108.1,39
ZCTA5 95237,95237,"3,167",8,397
ZCTA5 95240,95240,"47,172",82.7,570
ZCTA5 95242,95242,"25,393",96,264
ZCTA5 95245,95245,"2,277",68.4,33
ZCTA5 95246,95246,"1,615",52.2,31
ZCTA5 95247,95247,"4,368",41.7,105
ZCTA5 95248,95248,301,31.8,9
ZCTA5 95249,95249,"4,042",83.8,48
ZCTA5 95250,95250,78,10.6,7
ZCTA5 95251,95251,767,11,70
ZCTA5 95252,95252,"13,460",122.5,110
ZCTA5 95254,95254,480,5.5,87
ZCTA5 95255,95255,"2,042",44.6,46
ZCTA5 95257,95257,413,15.2,27
ZCTA5 95258,95258,"4,018",3.2,"1,247"
ZCTA5 95301,95301,"37,073",62.3,595
ZCTA5 95303,95303,912,39,23
ZCTA5 95304,95304,"15,706",159.4,99
ZCTA5 95305,95305,245,14.3,17
ZCTA5 95306,95306,970,136.8,7
ZCTA5 95307,95307,"42,753",33.5,"1,276"
ZCTA5 95310,95310,"1,882",39.5,48
ZCTA5 95311,95311,"2,197",239.6,9
ZCTA5 95312,95312,268,1,273
